nome_empresa;ra;vfn;is;nota;mis;mivfn;mnm;mrutd;mrudm;peutd;mrecudm;ercmr;mrd;mrs;mrecutd
Guichê Web;100%;83,0%;93,5%;8,08;1;2;1;0;0;0;0;0;0;0;0
D´Furlan Moveis Planejados;98,2%;96,5%;97,7%;9,38;2;1;2;0;0;0;0;0;0;0;0
FSVAS Participações;99,6%;65,5%;98,9%;9,06;3;0;7;0;0;0;0;0;0;0;0
Hersheys do Brasil;94,6%;73,0%;78,9%;6,83;4;10;10;0;0;0;0;0;0;0;0
Lança Perfume - Loja online;100%;78,2%;95,6%;7,58;5;0;0;0;0;0;0;0;0;0;0
DMCard;99,3%;90,0%;96,4%;8,87;6;5;3;0;0;0;0;0;0;0;0
Ventureshop;96,4%;92,8%;97,8%;8,58;7;11;0;0;0;0;0;0;0;0;0
Quero Bolsa;99,5%;90,6%;95,7%;9,08;8;9;5;0;0;0;0;0;0;0;0
Grupo VR;99,7%;90,8%;96,2%;8,6;9;7;19;0;0;0;0;0;0;0;0
Sidlar;98,1%;67,4%;95,3%;7,07;10;0;0;0;0;0;0;0;0;0;0
Aladdin - PMI;99,1%;91,2%;94,9%;8,7;11;8;16;0;0;0;0;0;0;0;0
Web Continental;96,9%;64,5%;94,1%;6,77;12;0;0;0;0;0;0;0;0;0;0
Optotal HOYA;100%;89,4%;94,9%;8,93;13;12;4;0;0;0;0;0;0;0;0
Sucos Maguary;96,0%;89,4%;93,3%;8,53;14;13;0;0;0;0;0;0;0;0;0
Velox Tickets;100%;82,4%;91,2%;8,23;15;4;11;0;0;0;0;0;0;0;0
Galápagos Jogos;100%;78,6%;94,2%;6,53;16;0;0;0;0;0;0;0;0;0;0
Documento do Estudante;100%;63,8%;85,9%;6,08;17;0;0;0;0;0;0;0;0;0;0
Falcon Armas;99,8%;88,4%;95,9%;8,48;18;6;12;0;0;0;0;0;0;0;0
CentralAr.com;99,8%;79,7%;94,6%;7,68;19;0;0;0;0;0;0;0;0;0;0
Disk Ingressos;100%;92,5%;95,2%;8,74;20;3;6;0;0;0;0;0;0;0;0
Lâmpadas FLC;100%;89,9%;95,0%;8,62;0;14;13;0;0;0;0;0;0;0;0
Marilan;100%;90,8%;95,1%;8,66;0;15;17;0;0;0;0;0;0;0;0
Piracanjuba;100%;88,0%;94,4%;8,74;0;16;14;0;0;0;0;0;0;0;0
Tigre;99,8%;88,1%;90,9%;8,23;0;17;0;0;0;0;0;0;0;0;0
Passagens Promo;99,2%;75,0%;84,5%;7,67;0;18;8;0;0;0;0;0;0;0;0
Zap Gráfica;99,5%;89,4%;94,8%;7,1;0;19;0;0;0;0;0;0;0;0;0
Ferrero do Brasil - Kinder, Nutella, Tic Tac, Ferrero Rocher;100%;88,6%;91,0%;8,54;0;20;20;0;0;0;0;0;0;0;0
Garmin Brasil;99,0%;65,0%;78,6%;6,33;0;0;9;0;0;0;0;0;0;0;0
Enjoy Inglês Profissionalizante;60,6%;49,1%;77,6%;5,95;0;0;15;0;0;0;0;0;0;0;0
Docol Metais Sanitarios;99,6%;94,0%;96,2%;9,12;0;0;18;0;0;0;0;0;0;0;0
Americanas Marketplace;98,9%;54,4%;77,3%;5,16;0;0;0;1;1;0;3;0;19;4;1
Sky;97,6%;43,2%;67,6%;4,11;0;0;0;2;5;0;5;0;11;8;6
Magazine Luiza - Loja Online;94,2%;71,4%;90,8%;6,9;0;0;0;3;4;0;18;0;4;9;12
Netshoes;98,8%;76,2%;91,8%;6,76;0;0;0;4;2;0;9;0;2;2;9
Americanas.com - Loja Online;97,5%;76,2%;89,6%;7,0;0;0;0;5;3;0;17;0;1;1;7
Banco Cetelem;99,6%;64,6%;84,1%;6,47;0;0;0;6;14;0;0;0;0;0;0
Saraiva - Loja fisica e online;99,4%;63,6%;82,9%;6,12;0;0;0;7;8;0;0;0;17;0;0
